0,50,0
0,100,0
0,150,0
0,200,0
0,250,0
0,300,0
0,350,0
0,400,0
0,450,0
0,500,0
0,550,0
0,600,0
0,650,0
0,700,0
0,750,0
0,800,0
0,850,0
0,900,0
0,950,0
0,1000,0
0,1050,0
0,1100,0
0,1150,0
0,1200,0
0,1250,0
0,1300,0
0,1350,0
0,1400,0
0,1450,0
0,1500,0
0,1550,0
0,1600,0
0,50,50
0,100,50
0,150,50
0,200,50
0,250,50
0,300,50
0,350,50
0,400,50
0,450,50
0,500,50
0,550,50
0,600,50
0,650,50
0,700,50
0,750,50
0,800,50
0,850,50
0,900,50
0,950,50
0,1000,50
0,1050,50
0,1100,50
0,1150,50
0,1200,50
0,1250,50
0,1300,50
0,1350,50
0,1400,50
0,1450,50
0,1500,50
0,1550,50
0,1600,50
0,50,100
0,100,100
0,150,100
0,200,100
0,250,100
0,300,100
0,350,100
0,400,100
0,450,100
0,500,100
0,550,100
0,600,100
0,650,100
0,700,100
0,750,100
0,800,100
0,850,100
0,900,100
0,950,100
0,1000,100
0,1050,100
0,1100,100
0,1150,100
0,1200,100
0,1250,100
0,1300,100
0,1350,100
0,1400,100
0,1450,100
0,1500,100
0,1550,100
0,1600,100
